artifact_size,beta,correct,delta,duration,filter_noise,filter_radius,filter_radius_noise,filter_samples,gamma,globalTrialId,grain,image_samples,intensity,intensityChange,is_reference,label,line_angle,nTrials,pThreshold,questTrialId,selection,startVal,startValSd,stopInterval,user,velocity,x,y
8,3.5,0,0.01,1.43005990982056,0,145,0,100,0.5,11,0.1,1,0.6,decrease,False,artifact8-angle5.5-noise0-speed0.0-samples1,0.095993108859688,50,0.82,1,none,0.6,0.4,0.1,awe,0,,
8,3.5,0,0.01,1.39533376693726,0,145,0,100,0.5,12,0.1,1,0.52160602103175,decrease,False,artifact8-angle5.5-noise0-speed0.0-samples1,0.095993108859688,50,0.82,2,none,0.6,0.4,0.1,awe,0,,
8,3.5,1,0.01,5.26900744438171,0,145,0,100,0.5,13,0.1,1,0.422663765300366,increase,False,artifact8-angle5.5-noise0-speed0.0-samples1,0.095993108859688,50,0.82,3,image,0.6,0.4,0.1,awe,0,531.6875,347.156799316406
8,3.5,1,0.01,1.61975765228271,0,145,0,100,0.5,45,0.1,1,0.666513985013493,decrease,True,artifact8-angle5.5-noise0-speed0.0-samples1,0.095993108859688,50,0.82,3,none,0.6,0.4,0.1,awe,0,,
8,3.5,1,0.01,0.784751415252685,0,145,0,100,0.5,46,0.1,1,0.59402121023529,decrease,True,artifact8-angle5.5-noise0-speed0.0-samples1,0.095993108859688,50,0.82,3,none,0.6,0.4,0.1,awe,0,,
8,3.5,1,0.01,0.598996877670288,0,145,0,100,0.5,47,0.1,1,0.546728695058301,decrease,True,artifact8-angle5.5-noise0-speed0.0-samples1,0.095993108859688,50,0.82,3,none,0.6,0.4,0.1,awe,0,,
8,3.5,1,0.01,1.18899369239807,0,145,0,100,0.5,48,0.1,1,0.501708804913785,decrease,True,artifact8-angle5.5-noise0-speed0.0-samples1,0.095993108859688,50,0.82,3,none,0.6,0.4,0.1,awe,0,,
8,3.5,1,0.01,1.41350293159485,0,145,0,100,0.5,49,0.1,1,0.472794710918657,decrease,True,artifact8-angle5.5-noise0-speed0.0-samples1,0.095993108859688,50,0.82,3,none,0.6,0.4,0.1,awe,0,,
8,3.5,1,0.01,0.659290790557861,0,145,0,100,0.5,50,0.1,1,0.449221653318773,decrease,True,artifact8-angle5.5-noise0-speed0.0-samples1,0.095993108859688,50,0.82,3,none,0.6,0.4,0.1,awe,0,,
8,3.5,1,0.01,1.08421754837036,0,145,0,100,0.5,51,0.1,1,0.426172048903846,decrease,True,artifact8-angle5.5-noise0-speed0.0-samples1,0.095993108859688,50,0.82,3,none,0.6,0.4,0.1,awe,0,,
8,3.5,1,0.01,1.45895051956177,0,145,0,100,0.5,52,0.1,1,0.400488678001396,decrease,True,artifact8-angle5.5-noise0-speed0.0-samples1,0.095993108859688,50,0.82,3,none,0.6,0.4,0.1,awe,0,,
8,3.5,1,0.01,0.722659349441528,0,145,0,100,0.5,53,0.1,1,0.383021497264685,decrease,True,artifact8-angle5.5-noise0-speed0.0-samples1,0.095993108859688,50,0.82,3,none,0.6,0.4,0.1,awe,0,,
8,3.5,1,0.01,1.5478081703186,0,145,0,100,0.5,54,0.1,1,0.368360727424867,decrease,True,artifact8-angle5.5-noise0-speed0.0-samples1,0.095993108859688,50,0.82,3,none,0.6,0.4,0.1,awe,0,,
8,3.5,1,0.01,0.762079954147339,0,145,0,100,0.5,55,0.1,1,0.355373169107574,decrease,True,artifact8-angle5.5-noise0-speed0.0-samples1,0.095993108859688,50,0.82,3,none,0.6,0.4,0.1,awe,0,,
8,3.5,1,0.01,1.73893880844116,0,145,0,100,0.5,56,0.1,1,0.34331096391262,decrease,True,artifact8-angle5.5-noise0-speed0.0-samples1,0.095993108859688,50,0.82,3,none,0.6,0.4,0.1,awe,0,,
8,3.5,1,0.01,2.79533767700195,0,145,0,100,0.5,57,0.1,1,0.328939548457804,decrease,True,artifact8-angle5.5-noise0-speed0.0-samples1,0.095993108859688,50,0.82,3,none,0.6,0.4,0.1,awe,0,,
8,3.5,1,0.01,0.879405498504639,0,145,0,100,0.5,58,0.1,1,0.311990793036891,decrease,True,artifact8-angle5.5-noise0-speed0.0-samples1,0.095993108859688,50,0.82,3,none,0.6,0.4,0.1,awe,0,,
8,3.5,1,0.01,0.766827344894409,0,145,0,100,0.5,59,0.1,1,0.292956789457381,decrease,True,artifact8-angle5.5-noise0-speed0.0-samples1,0.095993108859688,50,0.82,3,none,0.6,0.4,0.1,awe,0,,
8,3.5,1,0.01,1.98957872390747,0,145,0,100,0.5,60,0.1,1,0.276573314500386,decrease,True,artifact8-angle5.5-noise0-speed0.0-samples1,0.095993108859688,50,0.82,3,none,0.6,0.4,0.1,awe,0,,
8,3.5,0,0.01,0.896016597747803,0,145,0,100,0.5,125,0.1,1,0.666513985013493,decrease,False,artifact8-angle5.5-noise0-speed0.0-samples1,0.095993108859688,50,0.82,20,none,0.6,0.4,0.1,awe,0,,
8,3.5,0,0.01,1.14277410507202,0,145,0,100,0.5,126,0.1,1,0.59402121023529,decrease,False,artifact8-angle5.5-noise0-speed0.0-samples1,0.095993108859688,50,0.82,21,none,0.6,0.4,0.1,awe,0,,
8,3.5,0,0.01,0.907135248184204,0,145,0,100,0.5,127,0.1,1,0.546728695058301,decrease,False,artifact8-angle5.5-noise0-speed0.0-samples1,0.095993108859688,50,0.82,22,none,0.6,0.4,0.1,awe,0,,
8,3.5,0,0.01,2.01403427124023,0,145,0,100,0.5,128,0.1,1,0.501708804913785,decrease,False,artifact8-angle5.5-noise0-speed0.0-samples1,0.095993108859688,50,0.82,23,none,0.6,0.4,0.1,awe,0,,
8,3.5,0,0.01,1.1701672077179,0,145,0,100,0.5,129,0.1,1,0.472794710918657,decrease,False,artifact8-angle5.5-noise0-speed0.0-samples1,0.095993108859688,50,0.82,24,none,0.6,0.4,0.1,awe,0,,
8,3.5,1,0.01,2.8916335105896,0,145,0,100,0.5,130,0.1,1,0.449221653318773,increase,False,artifact8-angle5.5-noise0-speed0.0-samples1,0.095993108859688,50,0.82,25,image,0.6,0.4,0.1,awe,0,487.04541015625,397.518493652344
8,3.5,0,0.01,13.038271188736,0,145,0,100,0.5,282,0.1,1,0.499266538825076,decrease,False,artifact8-angle5.5-noise0-speed0.0-samples1,0.095993108859688,50,0.82,26,none,0.6,0.4,0.1,awe,0,,
8,3.5,0,0.01,2.47691440582275,0,145,0,100,0.5,283,0.1,1,0.479432095774631,decrease,False,artifact8-angle5.5-noise0-speed0.0-samples1,0.095993108859688,50,0.82,27,none,0.6,0.4,0.1,awe,0,,
8,3.5,0,0.01,0.884850263595581,0,145,0,100,0.5,284,0.1,1,0.463177660691284,decrease,False,artifact8-angle5.5-noise0-speed0.0-samples1,0.095993108859688,50,0.82,28,none,0.6,0.4,0.1,awe,0,,
8,3.5,1,0.01,2.34214878082275,0,145,0,100,0.5,285,0.1,1,0.449144524088466,increase,False,artifact8-angle5.5-noise0-speed0.0-samples1,0.095993108859688,50,0.82,29,image,0.6,0.4,0.1,awe,0,398.734985351562,582.041625976563
