artifact_size,beta,correct,delta,duration,filter_noise,filter_radius,filter_radius_noise,filter_samples,gamma,globalTrialId,grain,image_samples,intensity,intensityChange,is_reference,label,line_angle,nTrials,pThreshold,questTrialId,selection,startVal,startValSd,stopInterval,user,velocity,x,y
8,3.5,0,0.01,1.9619832038879395,0,200.0,0.0,100.0,0.5,36,0.1,1,0.6,decrease,False,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943295,50,0.82,1,none,0.6,0.4,0.1,ks,0.0,,
8,3.5,0,0.01,1.7132139205932617,0,200.0,0.0,100.0,0.5,37,0.1,1,0.5216060210317498,decrease,False,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943295,50,0.82,2,none,0.6,0.4,0.1,ks,0.0,,
8,3.5,0,0.01,2.627870559692383,0,200.0,0.0,100.0,0.5,38,0.1,1,0.4226637653003655,decrease,False,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943295,50,0.82,3,none,0.6,0.4,0.1,ks,0.0,,
8,3.5,0,0.01,3.9482972621917725,0,200.0,0.0,100.0,0.5,39,0.1,1,0.3390815897579037,decrease,False,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943295,50,0.82,4,none,0.6,0.4,0.1,ks,0.0,,
8,3.5,0,0.01,5.46160364151001,0,200.0,0.0,100.0,0.5,40,0.1,1,0.263106634003767,decrease,False,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943295,50,0.82,5,none,0.6,0.4,0.1,ks,0.0,,
8,3.5,1,0.01,3.3995866775512695,0,200.0,0.0,100.0,0.5,41,0.1,1,0.20110407062551072,increase,False,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943295,50,0.82,6,image,0.6,0.4,0.1,ks,0.0,422.993408203125,316.7191162109375
8,3.5,0,0.01,2.429884195327759,0,200.0,0.0,100.0,0.5,71,0.1,1,0.37331209375204943,decrease,False,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943295,50,0.82,7,none,0.6,0.4,0.1,ks,0.0,,
8,3.5,0,0.01,0.9611191749572754,0,200.0,0.0,100.0,0.5,72,0.1,1,0.33025857096673855,decrease,False,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943295,50,0.82,8,none,0.6,0.4,0.1,ks,0.0,,
8,3.5,0,0.01,1.3469088077545166,0,200.0,0.0,100.0,0.5,73,0.1,1,0.2914323472720829,decrease,False,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943295,50,0.82,9,none,0.6,0.4,0.1,ks,0.0,,
8,3.5,1,0.01,2.4897665977478027,0,200.0,0.0,100.0,0.5,74,0.1,1,0.26638156742204167,increase,False,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943295,50,0.82,10,image,0.6,0.4,0.1,ks,0.0,590.3037109375,405.41632080078125
8,3.5,0,0.01,1.5915584564208984,0,200.0,0.0,100.0,0.5,160,0.1,1,0.3694652200766873,decrease,False,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943295,50,0.82,11,none,0.6,0.4,0.1,ks,0.0,,
8,3.5,0,0.01,1.5840208530426025,0,200.0,0.0,100.0,0.5,161,0.1,1,0.34272910857842775,decrease,False,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943295,50,0.82,12,none,0.6,0.4,0.1,ks,0.0,,
8,3.5,0,0.01,0.7421860694885254,0,200.0,0.0,100.0,0.5,162,0.1,1,0.3175871590311771,decrease,False,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943295,50,0.82,13,none,0.6,0.4,0.1,ks,0.0,,
8,3.5,0,0.01,0.8266644477844238,0,200.0,0.0,100.0,0.5,163,0.1,1,0.2944767135408618,decrease,False,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943295,50,0.82,14,none,0.6,0.4,0.1,ks,0.0,,
8,3.5,0,0.01,2.829214096069336,0,200.0,0.0,100.0,0.5,164,0.1,1,0.2807834833726955,decrease,False,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943295,50,0.82,15,none,0.6,0.4,0.1,ks,0.0,,
