artifact_size,beta,correct,delta,duration,filter_noise,filter_radius,filter_radius_noise,filter_samples,gamma,globalTrialId,grain,image_samples,intensity,intensityChange,is_reference,label,line_angle,nTrials,pThreshold,questTrialId,selection,startVal,startValSd,stopInterval,user,velocity,x,y
8,3.5,1,0.01,2.343963623046875,0,200.0,0.0,100.0,0.5,19,0.1,1,0.6,decrease,True,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943295,40,0.82,0,none,0.6,0.4,0.1,mk,0.0,,
8,3.5,1,0.01,0.858281135559082,0,200.0,0.0,100.0,0.5,20,0.1,1,0.5216060210317498,decrease,True,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943295,40,0.82,0,none,0.6,0.4,0.1,mk,0.0,,
8,3.5,1,0.01,1.613924503326416,0,200.0,0.0,100.0,0.5,21,0.1,1,0.4226637653003655,decrease,True,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943295,40,0.82,0,none,0.6,0.4,0.1,mk,0.0,,
8,3.5,1,0.01,4.329143047332764,0,200.0,0.0,100.0,0.5,22,0.1,1,0.3390815897579037,decrease,True,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943295,40,0.82,0,none,0.6,0.4,0.1,mk,0.0,,
8,3.5,1,0.01,1.550187587738037,0,200.0,0.0,100.0,0.5,23,0.1,1,0.263106634003767,decrease,True,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943295,40,0.82,0,none,0.6,0.4,0.1,mk,0.0,,
8,3.5,1,0.01,2.2410144805908203,0,200.0,0.0,100.0,0.5,24,0.1,1,0.20110407062551072,decrease,True,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943295,40,0.82,0,none,0.6,0.4,0.1,mk,0.0,,
8,3.5,1,0.01,2.564779758453369,0,200.0,0.0,100.0,0.5,25,0.1,1,0.1453265699334264,decrease,True,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943295,40,0.82,0,none,0.6,0.4,0.1,mk,0.0,,
8,3.5,1,0.01,2.125877618789673,0,200.0,0.0,100.0,0.5,26,0.1,1,0.08751203644898409,decrease,True,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943295,40,0.82,0,none,0.6,0.4,0.1,mk,0.0,,
8,3.5,1,0.01,4.798146486282349,0,200.0,0.0,100.0,0.5,27,0.1,1,0.03794190243906426,decrease,True,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943295,40,0.82,0,none,0.6,0.4,0.1,mk,0.0,,
8,3.5,0,0.01,2.5457828044891357,0,200.0,0.0,100.0,0.5,28,0.1,1,-0.01463609170524749,increase,True,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943295,40,0.82,0,image,0.6,0.4,0.1,mk,0.0,378.0369873046875,463.13226318359375
8,3.5,0,0.01,2.047374725341797,0,200.0,0.0,100.0,0.5,63,0.1,1,0.6,decrease,False,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943295,40,0.82,11,none,0.6,0.4,0.1,mk,0.0,,
8,3.5,0,0.01,2.927997350692749,0,200.0,0.0,100.0,0.5,64,0.1,1,0.5216060210317498,decrease,False,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943295,40,0.82,12,none,0.6,0.4,0.1,mk,0.0,,
8,3.5,0,0.01,1.646083116531372,0,200.0,0.0,100.0,0.5,65,0.1,1,0.4226637653003655,decrease,False,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943295,40,0.82,13,none,0.6,0.4,0.1,mk,0.0,,
8,3.5,0,0.01,1.4461524486541748,0,200.0,0.0,100.0,0.5,66,0.1,1,0.3390815897579037,decrease,False,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943295,40,0.82,14,none,0.6,0.4,0.1,mk,0.0,,
8,3.5,0,0.01,1.4735281467437744,0,200.0,0.0,100.0,0.5,67,0.1,1,0.263106634003767,decrease,False,artifact8-angle1-noise0-speed0.0-samples1,0.017453292519943295,40,0.82,15,none,0.6,0.4,0.1,mk,0.0,,
