artifact_size,beta,correct,delta,duration,filter_noise,filter_radius,filter_radius_noise,filter_samples,gamma,globalTrialId,grain,image_samples,intensity,intensityChange,is_reference,label,line_angle,nTrials,pThreshold,questTrialId,selection,startVal,startValSd,stopInterval,user,velocity,x,y
8,3.5,0,0.01,7.313242435455322,0,150.0,0.0,100.0,0.5,15,0.1,1,0.6,decrease,False,artifact8-angle10-noise0-speed0.0-samples1,0.17453292519943295,40,0.82,1,none,0.6,0.4,0.1,se,0.0,,
8,3.5,0,0.01,5.180072546005249,0,150.0,0.0,100.0,0.5,16,0.1,1,0.5216060210317498,decrease,False,artifact8-angle10-noise0-speed0.0-samples1,0.17453292519943295,40,0.82,2,none,0.6,0.4,0.1,se,0.0,,
8,3.5,0,0.01,4.6816582679748535,0,150.0,0.0,100.0,0.5,17,0.1,1,0.4226637653003655,decrease,False,artifact8-angle10-noise0-speed0.0-samples1,0.17453292519943295,40,0.82,3,none,0.6,0.4,0.1,se,0.0,,
8,3.5,0,0.01,4.403400897979736,0,150.0,0.0,100.0,0.5,18,0.1,1,0.3390815897579037,decrease,False,artifact8-angle10-noise0-speed0.0-samples1,0.17453292519943295,40,0.82,4,none,0.6,0.4,0.1,se,0.0,,
8,3.5,1,0.01,3.3201520442962646,0,150.0,0.0,100.0,0.5,19,0.1,1,0.263106634003767,increase,False,artifact8-angle10-noise0-speed0.0-samples1,0.17453292519943295,40,0.82,5,image,0.6,0.4,0.1,se,0.0,163.84521484375,548.16015625
8,3.5,1,0.01,13.861209154129028,0,150.0,0.0,100.0,0.5,38,0.1,1,0.4880942776827901,decrease,True,artifact8-angle10-noise0-speed0.0-samples1,0.17453292519943295,40,0.82,5,none,0.6,0.4,0.1,se,0.0,,
8,3.5,1,0.01,6.728397846221924,0,150.0,0.0,100.0,0.5,39,0.1,1,0.4355108993343496,decrease,True,artifact8-angle10-noise0-speed0.0-samples1,0.17453292519943295,40,0.82,5,none,0.6,0.4,0.1,se,0.0,,
8,3.5,1,0.01,9.618403434753418,0,150.0,0.0,100.0,0.5,40,0.1,1,0.39023871043391867,decrease,True,artifact8-angle10-noise0-speed0.0-samples1,0.17453292519943295,40,0.82,5,none,0.6,0.4,0.1,se,0.0,,
8,3.5,1,0.01,6.010922431945801,0,150.0,0.0,100.0,0.5,41,0.1,1,0.36177344159009805,decrease,True,artifact8-angle10-noise0-speed0.0-samples1,0.17453292519943295,40,0.82,5,none,0.6,0.4,0.1,se,0.0,,
8,3.5,1,0.01,7.615296363830566,0,150.0,0.0,100.0,0.5,42,0.1,1,0.3377135471830931,decrease,True,artifact8-angle10-noise0-speed0.0-samples1,0.17453292519943295,40,0.82,5,none,0.6,0.4,0.1,se,0.0,,
8,3.5,0,0.01,8.934948921203613,0,150.0,0.0,100.0,0.5,43,0.1,1,0.3128655825748482,increase,True,artifact8-angle10-noise0-speed0.0-samples1,0.17453292519943295,40,0.82,5,image,0.6,0.4,0.1,se,0.0,485.6260986328125,413.668212890625
8,3.5,1,0.01,6.193653106689453,0,150.0,0.0,100.0,0.5,55,0.1,1,0.4880942776827901,decrease,True,artifact8-angle10-noise0-speed0.0-samples1,0.17453292519943295,40,0.82,11,none,0.6,0.4,0.1,se,0.0,,
8,3.5,1,0.01,2.528585195541382,0,150.0,0.0,100.0,0.5,56,0.1,1,0.4355108993343496,decrease,True,artifact8-angle10-noise0-speed0.0-samples1,0.17453292519943295,40,0.82,11,none,0.6,0.4,0.1,se,0.0,,
8,3.5,1,0.01,6.873656988143921,0,150.0,0.0,100.0,0.5,57,0.1,1,0.39023871043391867,decrease,True,artifact8-angle10-noise0-speed0.0-samples1,0.17453292519943295,40,0.82,11,none,0.6,0.4,0.1,se,0.0,,
8,3.5,1,0.01,8.768630743026733,0,150.0,0.0,100.0,0.5,58,0.1,1,0.36177344159009805,decrease,True,artifact8-angle10-noise0-speed0.0-samples1,0.17453292519943295,40,0.82,11,none,0.6,0.4,0.1,se,0.0,,
