artifact_size,beta,correct,delta,duration,filter_noise,filter_radius,filter_radius_noise,filter_samples,gamma,globalTrialId,grain,image_samples,intensity,intensityChange,is_reference,label,line_angle,nTrials,pThreshold,questTrialId,selection,startVal,startValSd,stopInterval,user,velocity,x,y
8,3.5,1,0.01,16.675514936447144,0,150.0,0.0,100.0,0.5,1,0.1,1,0.6,decrease,True,artifact8-angle10-noise0-speed0.0-samples1,0.17453292519943295,40,0.82,0,none,0.6,0.4,0.1,sh,0.0,,
8,3.5,1,0.01,1.3772401809692383,0,150.0,0.0,100.0,0.5,2,0.1,1,0.5216060210317498,decrease,True,artifact8-angle10-noise0-speed0.0-samples1,0.17453292519943295,40,0.82,0,none,0.6,0.4,0.1,sh,0.0,,
8,3.5,1,0.01,0.6332175731658936,0,150.0,0.0,100.0,0.5,3,0.1,1,0.4226637653003655,decrease,True,artifact8-angle10-noise0-speed0.0-samples1,0.17453292519943295,40,0.82,0,none,0.6,0.4,0.1,sh,0.0,,
8,3.5,1,0.01,0.5127437114715576,0,150.0,0.0,100.0,0.5,4,0.1,1,0.3390815897579037,decrease,True,artifact8-angle10-noise0-speed0.0-samples1,0.17453292519943295,40,0.82,0,none,0.6,0.4,0.1,sh,0.0,,
8,3.5,1,0.01,0.5161843299865723,0,150.0,0.0,100.0,0.5,5,0.1,1,0.263106634003767,decrease,True,artifact8-angle10-noise0-speed0.0-samples1,0.17453292519943295,40,0.82,0,none,0.6,0.4,0.1,sh,0.0,,
8,3.5,1,0.01,8.53710675239563,0,150.0,0.0,100.0,0.5,6,0.1,1,0.20110407062551072,decrease,True,artifact8-angle10-noise0-speed0.0-samples1,0.17453292519943295,40,0.82,0,none,0.6,0.4,0.1,sh,0.0,,
8,3.5,1,0.01,1.0822803974151611,0,150.0,0.0,100.0,0.5,7,0.1,1,0.1453265699334264,decrease,True,artifact8-angle10-noise0-speed0.0-samples1,0.17453292519943295,40,0.82,0,none,0.6,0.4,0.1,sh,0.0,,
8,3.5,1,0.01,1.792973279953003,0,150.0,0.0,100.0,0.5,8,0.1,1,0.08751203644898409,decrease,True,artifact8-angle10-noise0-speed0.0-samples1,0.17453292519943295,40,0.82,0,none,0.6,0.4,0.1,sh,0.0,,
8,3.5,0,0.01,1.7509732246398926,0,150.0,0.0,100.0,0.5,14,0.1,1,0.6,decrease,False,artifact8-angle10-noise0-speed0.0-samples1,0.17453292519943295,40,0.82,9,none,0.6,0.4,0.1,sh,0.0,,
8,3.5,0,0.01,0.7083666324615479,0,150.0,0.0,100.0,0.5,15,0.1,1,0.5216060210317498,decrease,False,artifact8-angle10-noise0-speed0.0-samples1,0.17453292519943295,40,0.82,10,none,0.6,0.4,0.1,sh,0.0,,
8,3.5,0,0.01,1.0322344303131104,0,150.0,0.0,100.0,0.5,16,0.1,1,0.4226637653003655,decrease,False,artifact8-angle10-noise0-speed0.0-samples1,0.17453292519943295,40,0.82,11,none,0.6,0.4,0.1,sh,0.0,,
8,3.5,0,0.01,0.7188072204589844,0,150.0,0.0,100.0,0.5,17,0.1,1,0.3390815897579037,decrease,False,artifact8-angle10-noise0-speed0.0-samples1,0.17453292519943295,40,0.82,12,none,0.6,0.4,0.1,sh,0.0,,
8,3.5,0,0.01,2.0079245567321777,0,150.0,0.0,100.0,0.5,18,0.1,1,0.263106634003767,decrease,False,artifact8-angle10-noise0-speed0.0-samples1,0.17453292519943295,40,0.82,13,none,0.6,0.4,0.1,sh,0.0,,
8,3.5,1,0.01,3.617260456085205,0,150.0,0.0,100.0,0.5,19,0.1,1,0.20110407062551072,increase,False,artifact8-angle10-noise0-speed0.0-samples1,0.17453292519943295,40,0.82,14,image,0.6,0.4,0.1,sh,0.0,293.9046630859375,203.24884033203125
